B+ Execution Time (ms),Clustering Execution Time (ms),B+ Avg Score,Clustering Avg Score,B+ Max Score,Clustering Max Score,Number of Operators,File
173.39229583740234,373.5840320587158,0.9708211041229909,0.946867356743536,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1011290/question/1.xml
222.35369682312012,13619.382619857788,0.6954714586828409,0.869514472455649,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101214/question/13.xml
180.01699447631836,4678.747177124023,0.5428776065108717,0.5828688015120653,1,1,8,./../../Downloads/dataset_full/dataset_full/math/101214/question/14.xml
2171.4704036712646,10140.924215316772,0.7639788500972712,0.8324543935596567,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101214/question/8.xml
117.80405044555664,2086.7466926574707,0.4881168712040232,0.612651069029328,1,1,9,./../../Downloads/dataset_full/dataset_full/math/101214/question/9.xml
551.4531135559082,8869.12226676941,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1013230/question/0.xml
171.30374908447266,12374.512910842896,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1013230/question/1.xml
1219.3372249603271,4592.308282852173,0.6273588315035683,0.6851609709902734,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101480/question/0.xml
183.1815242767334,12472.952365875244,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101480/question/3.xml
1111.0200881958008,3849.3075370788574,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1015642/question/2.xml
1197.464942932129,14836.745500564575,0.8158854239664491,0.8955850293058616,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1017074/question/0.xml
2336.9617462158203,10861.634969711304,0.8401039975832203,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1017074/question/1.xml
583.2715034484863,19255.30457496643,0.6449205922596306,0.6959769344384962,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1017074/question/2.xml
2388.7903690338135,12133.808612823486,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1017074/question/3.xml
2364.215612411499,12083.922863006592,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/1.xml
2373.542308807373,12077.215671539307,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/2.xml
2698.9617347717285,13305.505275726318,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/3.xml
2385.5082988739014,12136.809825897217,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/4.xml
442.4126148223877,13783.459901809692,0.8557493513375867,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1018014/question/5.xml
250.78797340393066,4423.380613327026,0.8554484631690513,0.871346146113948,1,1,2,./../../Downloads/dataset_full/dataset_full/math/101975/question/0.xml
1333.3103656768799,4409.125566482544,0.8293080248044966,0.8961505681818183,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101975/question/1.xml
270.10512351989746,1736.5281581878662,0.7757563025210084,0.7785552682611506,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1019966/question/0.xml
3079.1852474212646,9147.4449634552,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1019966/question/2.xml
101.08661651611328,1633.3439350128174,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021876/question/0.xml
792.6456928253174,23393.581867218018,0.5618417379653683,0.6475917143927802,1,1,8,./../../Downloads/dataset_full/dataset_full/math/1021947/question/0.xml
1031.2340259552002,23136.18564605713,0.5783636075182302,0.6654221069405905,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1021947/question/1.xml
500.8537769317627,10110.750436782837,0.5984420520570346,0.7545714706875895,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021947/question/3.xml
150.5138874053955,15699.768781661987,0.5292776509141798,0.5485777553141858,1,1,12,./../../Downloads/dataset_full/dataset_full/math/1021947/question/4.xml
167.29283332824707,10999.808073043823,0.48305586806623246,0.5361275865412116,1,1,15,./../../Downloads/dataset_full/dataset_full/math/1021947/question/5.xml
316.48731231689453,6284.392356872559,0.6020767229885222,0.6611826157274451,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1021947/question/6.xml
108.78777503967285,872.2233772277832,0.557837585457929,0.6222260385611389,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102262/question/6.xml
127.07042694091797,6205.239772796631,0.5272809716684164,0.6679359048142399,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1022966/question/0.xml
1067.8832530975342,4465.472459793091,0.7103205475738683,0.7473723086774557,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024158/question/0.xml
136.0924243927002,5526.555061340332,0.7218802609427609,0.6476253019323671,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024158/question/1.xml
155.25460243225098,8972.487926483154,0.5095314578625828,0.6011969432728005,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/2.xml
145.26677131652832,26932.12389945984,0.48207688688211386,0.629743197065892,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/3.xml
459.40160751342773,4383.865594863892,0.8826337826797386,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/1.xml
115.22555351257324,19493.943214416504,0.438015000847068,0.6281827369301676,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024280/question/11.xml
586.5468978881836,5645.583152770996,0.7065561107205884,0.7080932467820725,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1024280/question/12.xml
2756.9291591644287,13461.246252059937,0.9455555555555555,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/2.xml
2515.887975692749,12880.25975227356,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/3.xml
111.12332344055176,13306.310892105103,0.6459320273045763,0.8917075163398693,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/4.xml
2679.8741817474365,13420.545101165771,0.8984159790042143,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/5.xml
2749.2382526397705,14187.78133392334,0.8268627450980393,0.8983928571428571,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/6.xml
1030.3969383239746,9362.727165222168,0.8137939094556742,0.9061458333333333,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/7.xml
655.0893783569336,14779.639482498169,0.7278382776011503,0.804687049062049,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/8.xml
294.8894500732422,13238.109350204468,0.6820183360700602,0.9170649509803922,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/9.xml
2105.006694793701,8374.04465675354,0.9903549382716049,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/4.xml
3024.7533321380615,8816.396951675415,0.7552350427350427,0.7508479020979021,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/5.xml
2937.678337097168,8860.74423789978,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/1.xml
732.8000068664551,1469.447135925293,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/2.xml
2093.7771797180176,8468.796491622925,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/10.xml
344.27881240844727,1013.7746334075928,0.8889804639804639,0.8860042735042735,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/11.xml
468.5509204864502,953.3181190490723,0.7018535550600767,0.7459978730946473,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/12.xml
342.989444732666,984.7979545593262,0.8889804639804639,0.8860042735042735,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/13.xml
459.6595764160156,994.1425323486328,0.7367979242979242,0.7427899877899877,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/14.xml
332.5226306915283,993.7036037445068,1,0.9736111111111111,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/18.xml
484.67159271240234,936.6092681884766,0.7553124999999999,0.7730448717948718,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/19.xml
2969.8636531829834,8811.237096786499,0.9346590909090908,0.9535094535094535,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/2.xml
2940.4804706573486,8847.576379776001,0.9157196969696969,0.8884305798368298,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/3.xml
2950.9949684143066,8811.116933822632,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/4.xml
2370.258331298828,12313.851594924927,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102885/question/0.xml
123.98386001586914,14971.007108688354,0.7328150594217254,0.8024682758268559,1,1,4,./../../Downloads/dataset_full/dataset_full/math/102885/question/1.xml
210.30139923095703,17495.308876037598,0.7898353835086291,1,1,1,10,./../../Downloads/dataset_full/dataset_full/math/102885/question/3.xml
137.7875804901123,20350.918292999268,0.5506953484182309,0.6089902519319343,1,1,14,./../../Downloads/dataset_full/dataset_full/math/102885/question/6.xml
117.4767017364502,3144.7455883026123,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102885/question/7.xml
2305.549144744873,11661.251068115234,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102885/question/8.xml
108.80255699157715,14098.849058151245,0.7328150594217254,0.8024682758268559,1,1,4,./../../Downloads/dataset_full/dataset_full/math/102885/question/9.xml
383.03470611572266,10672.563552856445,0.6701168554046988,0.7316820125630824,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1029813/question/0.xml
127.44379043579102,6534.53254699707,0.4901443828782776,0.5878503215764102,1,1,13,./../../Downloads/dataset_full/dataset_full/math/1029813/question/12.xml
195.53470611572266,609.4341278076172,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1029813/question/2.xml
2081.651210784912,8509.731531143188,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1029813/question/3.xml
281.2657356262207,9044.562339782715,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1029813/question/4.xml
