B+ Execution Time (ms),Sequential Execution Time (ms),B+ Avg Score,Seq Avg Score,B+ Max Score,Seq Max Score,Number of Operators,File
167.88434982299805,92649.61957931519,0.9708211041229909,0.946867356743536,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1011290/question/1.xml
201.56407356262207,80375.93460083008,0.6954714586828409,0.8367359764418588,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101214/question/13.xml
170.38416862487793,94348.2015132904,0.5428776065108717,0.6528530792437355,1,1,8,./../../Downloads/dataset_full/dataset_full/math/101214/question/14.xml
2216.2725925445557,84031.0218334198,0.7639788500972712,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101214/question/8.xml
124.21274185180664,98757.1816444397,0.4881168712040232,0.6415175012761758,1,1,9,./../../Downloads/dataset_full/dataset_full/math/101214/question/9.xml
552.3068904876709,74474.76863861084,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1013230/question/0.xml
185.2130889892578,74584.32912826538,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1013230/question/1.xml
1220.9463119506836,85348.53196144104,0.6273588315035683,0.6923020483272615,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101480/question/0.xml
199.94163513183594,77595.45159339905,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101480/question/3.xml
1211.9998931884766,74132.47203826904,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1015642/question/2.xml
1205.6834697723389,83301.39684677124,0.8158854239664491,0.969212962962963,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1017074/question/0.xml
2256.7036151885986,87230.9889793396,0.8401039975832203,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1017074/question/1.xml
592.299222946167,105822.02053070068,0.6449205922596306,0.6968371494922596,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1017074/question/2.xml
2333.292007446289,72964.94817733765,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1017074/question/3.xml
2286.278247833252,71889.19401168823,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/1.xml
2296.8475818634033,73973.42228889465,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/2.xml
2653.7997722625732,77301.1953830719,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/3.xml
2311.253070831299,72262.61806488037,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/4.xml
439.3131732940674,79430.40180206299,0.8557493513375867,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1018014/question/5.xml
274.7063636779785,82364.65072631836,0.8554484631690513,0.9627349121466768,1,1,2,./../../Downloads/dataset_full/dataset_full/math/101975/question/0.xml
1299.64280128479,82593.61958503723,0.8293080248044966,0.8899621212121213,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101975/question/1.xml
276.57032012939453,83134.17959213257,0.7757563025210084,0.8009791989246504,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1019966/question/0.xml
2991.3954734802246,75179.97217178345,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1019966/question/2.xml
120.56350708007812,74613.39068412781,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021876/question/0.xml
789.2029285430908,125989.48526382446,0.5618417379653683,0.6750861561365684,1,1,8,./../../Downloads/dataset_full/dataset_full/math/1021947/question/0.xml
1050.9092807769775,124536.77821159363,0.5783636075182302,0.6916955529929992,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1021947/question/1.xml
513.6551856994629,84141.8182849884,0.5984420520570346,0.7582240793401981,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021947/question/3.xml
166.28265380859375,121174.65329170227,0.5292776509141798,0.6285005858229391,1,1,12,./../../Downloads/dataset_full/dataset_full/math/1021947/question/4.xml
164.2744541168213,173248.72255325317,0.48305586806623246,0.5529402685633129,1,1,15,./../../Downloads/dataset_full/dataset_full/math/1021947/question/5.xml
328.7196159362793,107132.08627700806,0.6020767229885222,0.6819262201343038,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1021947/question/6.xml
121.62470817565918,98183.38513374329,0.557837585457929,0.6917829511939205,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102262/question/6.xml
137.5887393951416,114434.20648574829,0.5272809716684164,0.67884412204029,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1022966/question/0.xml
1026.9246101379395,75789.5302772522,0.7103205475738683,0.7473723086774557,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024158/question/0.xml
149.62172508239746,88081.99000358582,0.7218802609427609,0.6867582939211853,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024158/question/1.xml
180.08899688720703,126536.14449501038,0.5095314578625828,0.6666719215407452,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/2.xml
141.13235473632812,136024.53708648682,0.48207688688211386,0.6418918903056738,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/3.xml
444.2176818847656,80072.62539863586,0.8826337826797386,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/1.xml
138.29565048217773,106418.71786117554,0.438015000847068,0.6479329297408893,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024280/question/11.xml
603.8634777069092,98405.88426589966,0.7065561107205884,0.7212699981513204,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1024280/question/12.xml
2678.4446239471436,79691.26987457275,0.9455555555555555,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/2.xml
2495.650291442871,73402.32563018799,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/3.xml
114.25638198852539,80175.86874961853,0.6459320273045763,0.9692460317460317,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/4.xml
2641.5483951568604,77919.0866947174,0.8984159790042143,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/5.xml
2718.698024749756,81071.0072517395,0.8268627450980393,0.8983928571428571,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/6.xml
1027.6172161102295,76085.13522148132,0.8137939094556742,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/7.xml
652.3544788360596,86041.87798500061,0.7278382776011503,0.8081530888596106,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/8.xml
293.1094169616699,77181.16497993469,0.6820183360700602,0.9442692307692307,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/9.xml
2053.760766983032,70292.3572063446,0.9903549382716049,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/4.xml
2992.1650886535645,74491.26982688904,0.7552350427350427,0.8072916666666667,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/5.xml
2935.7481002807617,73861.1958026886,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/1.xml
768.730878829956,71772.27330207825,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/2.xml
2104.475259780884,70844.85054016113,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/10.xml
366.68944358825684,77915.83037376404,0.8889804639804639,0.8938770604395605,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/11.xml
465.6648635864258,75291.93377494812,0.7018535550600767,0.746712158808933,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/12.xml
344.2652225494385,77380.6848526001,0.8889804639804639,0.860415521978022,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/13.xml
436.7175102233887,75974.54047203064,0.7367979242979242,0.7588319088319089,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/14.xml
373.03638458251953,77490.89169502258,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/18.xml
440.29951095581055,76271.17562294006,0.7553124999999999,0.778974358974359,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/19.xml
3051.861524581909,74654.3595790863,0.9346590909090908,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/2.xml
3034.9323749542236,73949.91207122803,0.9157196969696969,0.9267482517482517,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/3.xml
3000.5714893341064,74242.91682243347,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/4.xml
2393.301486968994,73200.15001296997,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102885/question/0.xml
124.50742721557617,84411.82255744934,0.7328150594217254,0.8070430113534776,1,1,4,./../../Downloads/dataset_full/dataset_full/math/102885/question/1.xml
217.0872688293457,99135.8642578125,0.7898353835086291,1,1,1,10,./../../Downloads/dataset_full/dataset_full/math/102885/question/3.xml
187.31975555419922,112290.0938987732,0.5506953484182309,0.6098869717900904,1,1,14,./../../Downloads/dataset_full/dataset_full/math/102885/question/6.xml
120.58067321777344,63457.94749259949,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102885/question/7.xml
