File,Number of Operators,B+ Execution Time 1,B+ Execution Time 2,B+ Execution Time 3,B+ Execution Time 4,Average B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,Fastest Approach,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,Best Scoring Approach
1002248/question/0.xml,1,588.6631011962891,392.906665802002,382.5843334197998,518.9337730407715,470.7719683647156,98859.84778404236,1004.0168762207032,416.2476062774658,1088.7231826782229,B+-Tree,0.8887152777777778,1.0,0.919047619047619,0.8887152777777778,0.919047619047619,Sequential
1002248/question/2.xml,1,2808.3395957946777,2724.0030765533447,2663.008451461792,2865.570306777954,2765.230357646942,80627.58302688599,9377.175331115724,2643.6362266540527,10007.078647613524,B-Tree,0.7693763440860215,0.7967305131142056,0.7893281346189479,0.7693763440860215,0.7893281346189479,Sequential
1002459/question/0.xml,15,112.26558685302734,126.40881538391112,100.33750534057616,122.48921394348145,115.37528038024902,94238.01565170288,994.586944580078,102.4773120880127,1034.3575477600098,B+-Tree,0.5552781868329469,0.7189464161725247,0.6537876350852986,0.5552781868329469,0.6537876350852986,Sequential
10029/question/1.xml,1,164.7043228149414,159.4228744506836,153.5623073577881,166.33892059326172,161.0071063041687,61186.19728088379,9334.017992019652,167.496919631958,10104.782819747925,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
10029/question/2.xml,4,105.15213012695312,131.0114860534668,118.6060905456543,123.45147132873537,119.55529451370239,78178.50279808044,19.664287567138672,78.83739471435547,26.279687881469727,Secondary,0.658949012703673,0.7748325892857143,0.6717536369386464,0.658949012703673,0.6717536369386464,Sequential
10029/question/3.xml,1,172.93167114257812,183.0270290374756,167.24157333374023,191.93482398986816,178.78377437591553,68223.60324859619,62.50357627868652,165.76886177062988,62.52431869506836,Secondary,1.0,1.0,1.0,1.0,1.0,All
1004148/question/0.xml,1,3075.474977493286,2695.19591331482,2727.3852825164795,2950.40225982666,2862.1146082878113,78148.58746528625,8183.9759349823,2673.910617828369,8755.284070968628,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1004514/question/12.xml,2,2417.557716369629,2167.6719188690186,2148.6082077026367,2381.6893100738525,2278.881788253784,75424.27444458008,11260.939836502075,2130.2132606506348,11883.870840072632,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1004514/question/18.xml,1,744.0333366394043,716.7739868164062,689.5556449890137,776.4465808868408,731.7023873329163,71083.96053314209,1394.7293758392334,706.1352729797363,1483.4976196289062,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
1004514/question/19.xml,1,179.16154861450195,170.0599193572998,188.610315322876,201.157808303833,184.74739789962769,69707.19909667969,549.1085052490234,159.80124473571777,588.4494781494141,B-Tree,1.0,1.0,1.0,1.0,1.0,All
