File,Number of Operators,B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Sequential Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000012/Plancherel_theorem_for_spherical_functions/248.xml,6,1560.960054397583,433871.2077140808,106516.42203330994,1532.5284004211426,105686.73491477966,0.9135559186703993,0.9286515567765568,0.9286515567765568,0.9135559186703993,0.9286515567765568,1,1,1,1,1
MathArticles/wpmath0000006/Ostwald–Freundlich_equation/54.xml,5,639.7686004638672,501806.2925338745,121811.7892742157,642.4541473388672,122467.49448776245,0.5929646137530026,0.7241907931195197,0.7102163460880007,0.5929646137530026,0.7102163460880007,1,1,1,1,1
MathArticles/wpmath0000008/Gårding's_inequality/1.xml,19,798.2337474822998,939866.2490844727,25714.52021598816,1020.439624786377,25457.725286483765,0.5963380924552224,0.6658154460407902,0.6497091502332072,0.5963380924552224,0.6497091502332072,1,1,1,1,1
MathArticles/wpmath0000003/Almost_periodic_function/27.xml,25,890.9914493560791,1424341.6180610657,405209.82360839844,890.6168937683105,404349.6696949005,0.44133592738029637,0.6367232345219623,0.6367232345219623,0.44133592738029637,0.6367232345219623,1,1,1,1,1
MathArticles/wpmath0000004/Envelope_(mathematics)/20.xml,7,732.1553230285645,496701.4162540436,1093.7440395355225,906.8641662597656,1078.5319805145264,0.651445211190452,0.7601503268620661,0.7454207866918015,0.651445211190452,0.7454207866918015,1,1,1,1,1
MathArticles/wpmath0000007/Josephson_penetration_depth/8.xml,1,4434.489011764526,264816.3228034973,15072.346448898315,4423.052549362183,15583.519697189331,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Euler-Maclaurin_formula/51.xml,5,997.173547744751,389987.5419139862,53724.04861450195,1046.8757152557373,55184.266328811646,0.8613499873231827,0.9262631536754344,0.922917141338194,0.8613499873231827,0.922917141338194,1,1,1,1,1
MathArticles/wpmath0000004/Exact_coloring/3.xml,3,683.5341453552246,315408.07700157166,1328.8483619689941,656.7411422729492,1265.6221389770508,0.736646279081226,0.9446892393320965,0.7362024300962522,0.736646279081226,0.7362024300962522,1,1,1,1,1
MathArticles/wpmath0000002/Indefinite_orthogonal_group/0.xml,1,448.911190032959,305341.60256385803,391.04151725769043,421.8714237213135,437.7179145812988,0.8298361503351875,1,0.8592321236732204,0.8298361503351875,0.8592321236732204,1,1,1,1,1
MathArticles/wpmath0000006/Bicoherence/10.xml,30,1050.4724979400635,1281461.965084076,346896.98123931885,1109.7102165222168,349227.93078422546,0.45181352350959836,0.6132865052551855,0.5918636542519518,0.45181352350959836,0.5918636542519518,1,1,1,1,1
MathArticles/wpmath0000012/Formulas_for_generating_Pythagorean_triples/76.xml,3,307.57808685302734,322358.2053184509,953.5341262817383,343.75548362731934,1015.6168937683105,0.5383663997939423,0.9148809523809524,0.7457915132648841,0.5383663997939423,0.7457915132648841,1,1,1,1,1
MathArticles/wpmath0000015/Davenport_constant/5.xml,10,792.7923202514648,530133.5880756378,134131.43396377563,781.6524505615234,132792.582988739,0.6384678570087026,0.775732832741167,0.7746850959558144,0.6384678570087026,0.7746850959558144,1,1,1,1,1
MathArticles/wpmath0000010/Prehomogeneous_vector_space/83.xml,2,8815.262079238892,291132.5981616974,62529.28066253662,8772.328615188599,62546.650409698486,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Orthogonality_principle/24.xml,1,1464.2612934112549,252005.78927993774,2736.278533935547,1437.704086303711,2893.3675289154053,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000009/Boyle_temperature/2.xml,10,4433.854103088379,664458.4867954254,167932.8715801239,4377.492904663086,169221.11201286316,0.6212572055710988,0.6898662573360831,0.6763098914347617,0.6212572055710988,0.6763098914347617,1,1,1,1,1
MathArticles/wpmath0000006/Kepler_problem/23.xml,8,1050.9459972381592,636228.5025119781,89580.07645606995,1189.436912536621,91336.23886108398,0.5828433008447041,0.8099616589788566,0.6924906700560187,0.5828433008447041,0.6924906700560187,1,1,1,1,1
MathArticles/wpmath0000004/Coefficient_of_variation/29.xml,1,1590.2748107910156,270483.6540222168,3204.204797744751,1534.179449081421,3281.535863876343,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Bernoulli_number/40.xml,1,1418.243169784546,248334.5947265625,2953.683853149414,1469.170093536377,2891.507863998413,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Recursively_enumerable_language/3.xml,1,420.8238124847412,253785.49075126648,218.74308586120605,374.9992847442627,218.79339218139648,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000006/Yale_shooting_problem/28.xml,2,7997.364282608032,310534.46793556213,68057.25884437561,8019.534349441528,68914.8542881012,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Digital_filter/19.xml,22,1486.1643314361572,853333.3287239075,14819.161891937256,1331.1314582824707,14742.295265197754,0.5616473833032192,0.6635785103617219,0.6593846627059774,0.5616473833032192,0.6593846627059774,1,1,1,1,1
MathArticles/wpmath0000002/Terminal_velocity/24.xml,5,2557.4307441711426,509552.5417327881,30530.920028686523,2515.9707069396973,31122.39980697632,0.6931012141487092,0.7817625308358938,0.7252738958806143,0.6931012141487092,0.7252738958806143,1,1,1,1,1
MathArticles/wpmath0000010/Timoshenko_beam_theory/51.xml,1,3809.892416000366,243863.4068965912,30181.561946868896,3846.2934494018555,30714.275121688843,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000004/Laplace–Runge–Lenz_vector/125.xml,4,668.2300567626953,418439.47291374207,5239.890098571777,687.5057220458984,5363.263130187988,0.773756745726635,0.8047535855358587,0.7678665865854811,0.773756745726635,0.7678665865854811,1,1,1,1,1
MathArticles/wpmath0000004/Hyperbolic_quaternion/2.xml,3,4841.045618057251,294530.8804512024,17553.162813186646,4954.033374786377,17761.021852493286,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Sum_frequency_generation_spectroscopy/6.xml,4,680.8860301971436,369188.9398097992,4688.287973403931,703.1204700469971,4611.965656280518,0.7100607593532658,0.7792255985535114,0.75714889597787,0.7100607593532658,0.75714889597787,1,1,1,1,1
MathArticles/wpmath0000005/Hanbury_Brown_and_Twiss_effect/15.xml,1,7855.55100440979,277757.2958469391,37326.46131515503,7722.023963928223,37885.43462753296,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000015/Rayleigh–Plesset_equation/48.xml,1,3776.7441272735596,243368.65162849426,30085.113763809204,3829.174757003784,29735.89825630188,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000015/Cluster-expansion_approach/1.xml,1,527.4558067321777,246865.26203155518,1752.7689933776855,562.5007152557373,1814.5081996917725,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000002/Hypergraph/51.xml,1,244.98414993286133,248902.29678153992,78.13191413879395,296.86713218688965,78.5207748413086,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000014/Semi-inner-product/9.xml,18,511.6841793060303,745832.2825431824,48707.02075958252,718.7530994415283,48025.10166168213,0.5622605062024684,0.6674541373438958,0.6664478235243392,0.5622605062024684,0.6664478235243392,1,1,1,1,1
MathArticles/wpmath0000013/Magnetic_braking/16.xml,6,637.7882957458496,462573.60768318176,63534.998416900635,703.1247615814209,62910.33124923706,0.4846180177475583,0.7043128358125069,0.6674069222227641,0.4846180177475583,0.6674069222227641,1,1,1,1,1
MathArticles/wpmath0000003/Sliding_mode_control/71.xml,2,6795.409202575684,278389.86563682556,58086.53807640076,6798.81739616394,60290.39454460144,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000009/Admissible_heuristic/14.xml,2,6827.1074295043945,276145.4005241394,59162.710666656494,6894.5887088775635,57870.78595161438,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000008/Yield_surface/57.xml,1,7594.271421432495,271250.4463195801,36138.28206062317,7470.700740814209,35543.105125427246,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000014/Backpressure_routing/49.xml,2,8818.392515182495,313060.063123703,70785.82453727722,9049.99327659607,69764.38593864441,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000014/Natural_units/85.xml,3,682.4941635131836,394119.98772621155,52708.10627937317,718.7533378601074,54285.00461578369,0.554088348985737,0.653820570092303,0.6450613755147587,0.554088348985737,0.6450613755147587,1,1,1,1,1
MathArticles/wpmath0000016/Multiple_kernel_learning/33.xml,10,903.2371044158936,551276.5452861786,136479.76779937744,734.3168258666992,136292.17147827148,0.5139869664158917,0.8062545800740472,0.7611836061513537,0.5139869664158917,0.7611836061513537,1,1,1,1,1
