File,Number of Operators,B+ Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000002/Partial_fraction_decomposition/5.xml,6,3604.282855987549,66838.07468414307,3595.6673622131348,66355.05294799805,0.6545075574017971,0.7273232978773951,0.6545075574017971,0.7273232978773951,1,1,1,1
MathArticles/wpmath0000003/Autoregressive_conditional_heteroskedasticity/62.xml,3,780.2448272705078,16755.94162940979,828.4480571746826,16663.854598999023,0.7024309614735147,0.825195470044608,0.7024309614735147,0.825195470044608,1,1,1,1
MathArticles/wpmath0000004/Equivalent_air_depth/11.xml,5,6641.30973815918,125850.2151966095,6646.593332290649,124670.75943946838,0.7334168027240662,0.8144544267855437,0.7334168027240662,0.8144544267855437,1,1,1,1
MathArticles/wpmath0000001/Bracket/6.xml,3,2746.4241981506348,60585.61968803406,2687.896966934204,59442.71922111511,0.8355948464912281,0.854107142857143,0.8355948464912281,0.854107142857143,1,1,1,1
MathArticles/wpmath0000013/Randomized_rounding/172.xml,2,323.80127906799316,2298.9654541015625,343.66321563720703,2203.9473056793213,1,1,1,1,1,1,1,1
MathArticles/wpmath0000006/Coriolis_field/3.xml,10,842.8301811218262,72332.70215988159,844.2447185516357,71013.51046562195,0.6535377372099509,0.7160271566654404,0.6535377372099509,0.7160271566654404,1,1,1,1
MathArticles/wpmath0000012/Hard_hexagon_model/0.xml,14,980.7455539703369,168354.65574264526,984.3752384185791,167325.275182724,0.541865362220383,0.6741845526161103,0.541865362220383,0.6741845526161103,1,1,1,1
MathArticles/wpmath0000009/Polynomial_greatest_common_divisor/40.xml,8,1984.8885536193848,118626.86800956726,1969.8445796966553,117639.27388191223,0.9635294566544567,1,0.9635294566544567,1,1,1,1,1
MathArticles/wpmath0000008/Principle_of_covariance/2.xml,1,714.4176959991455,3445.3086853027344,671.8709468841553,3141.582250595093,1,1,1,1,1,1,1,1
MathArticles/wpmath0000015/Lorentz_force_velocimetry/1.xml,1,419.0993309020996,296.86927795410156,359.8325252532959,328.1219005584717,0.8190038436332076,0.9265881555874382,0.8190038436332076,0.9265881555874382,1,1,1,1
MathArticles/wpmath0000012/Computing_the_permanent/16.xml,5,669.2731380462646,0.0,765.6185626983643,0.0,1,1,1,1,1,1,1,1
MathArticles/wpmath0000008/Partial_geometry/22.xml,6,2669.454336166382,97962.5153541565,2596.1008071899414,97290.40622711182,0.8366191074976935,0.8794122260234792,0.8366191074976935,0.8794122260234792,1,1,1,1
