B+ Execution Time (ms),Secondary Execution Time (ms),B+ Avg Score,Sec Avg Score,B+ Max Score,Sec Max Score,Number of Operators,File
175.77409744262695,356.07194900512695,0.9708211041229909,0.946867356743536,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1011290/question/1.xml
197.98517227172852,12973.553895950317,0.6954714586828409,0.869514472455649,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101214/question/13.xml
176.4535903930664,4584.111928939819,0.5428776065108717,0.5828688015120653,1,1,8,./../../Downloads/dataset_full/dataset_full/math/101214/question/14.xml
2118.0546283721924,9798.099279403687,0.7639788500972712,0.8324543935596567,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101214/question/8.xml
142.42243766784668,2016.235113143921,0.4881168712040232,0.612651069029328,1,1,9,./../../Downloads/dataset_full/dataset_full/math/101214/question/9.xml
520.3402042388916,8530.999422073364,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1013230/question/0.xml
186.387300491333,11925.801515579224,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1013230/question/1.xml
1154.1244983673096,4345.628261566162,0.6273588315035683,0.6851609709902734,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101480/question/0.xml
190.17696380615234,11897.218942642212,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101480/question/3.xml
1052.56986618042,3737.992286682129,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1015642/question/2.xml
1200.5460262298584,13873.538494110107,0.8158854239664491,0.8955850293058616,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1017074/question/0.xml
2209.2525959014893,10196.775436401367,0.8401039975832203,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1017074/question/1.xml
552.2356033325195,18297.101736068726,0.6449205922596306,0.6959769344384962,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1017074/question/2.xml
2152.1005630493164,11203.034162521362,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1017074/question/3.xml
2144.977807998657,11238.944292068481,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/1.xml
2162.2707843780518,11408.66231918335,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/2.xml
2464.7581577301025,12322.001218795776,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/3.xml
2135.927438735962,11219.016075134277,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/4.xml
442.3341751098633,12972.666025161743,0.8557493513375867,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1018014/question/5.xml
255.598783493042,4265.819787979126,0.8554484631690513,0.871346146113948,1,1,2,./../../Downloads/dataset_full/dataset_full/math/101975/question/0.xml
1231.4398288726807,4172.137260437012,0.8293080248044966,0.8961505681818183,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101975/question/1.xml
244.22335624694824,1635.021686553955,0.7757563025210084,0.7785552682611506,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1019966/question/0.xml
2762.448787689209,8392.81439781189,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1019966/question/2.xml
116.59693717956543,1449.902057647705,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021876/question/0.xml
789.6957397460938,22359.431505203247,0.5618417379653683,0.6475917143927802,1,1,8,./../../Downloads/dataset_full/dataset_full/math/1021947/question/0.xml
1040.7750606536865,22315.48023223877,0.5783636075182302,0.6654221069405905,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1021947/question/1.xml
504.1007995605469,9562.563180923462,0.5984420520570346,0.7545714706875895,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021947/question/3.xml
148.66948127746582,14827.401399612427,0.5292776509141798,0.5485777553141858,1,1,12,./../../Downloads/dataset_full/dataset_full/math/1021947/question/4.xml
155.69472312927246,10510.658979415894,0.48305586806623246,0.5361275865412116,1,1,15,./../../Downloads/dataset_full/dataset_full/math/1021947/question/5.xml
327.91924476623535,5960.994720458984,0.6020767229885222,0.6611826157274451,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1021947/question/6.xml
127.24900245666504,813.5225772857666,0.557837585457929,0.6222260385611389,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102262/question/6.xml
127.2573471069336,5949.68056678772,0.5272809716684164,0.6679359048142399,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1022966/question/0.xml
960.2100849151611,4235.701560974121,0.7103205475738683,0.7473723086774557,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024158/question/0.xml
135.30445098876953,5220.824241638184,0.7218802609427609,0.6476253019323671,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024158/question/1.xml
163.97476196289062,8556.868553161621,0.5095314578625828,0.6011969432728005,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/2.xml
170.23015022277832,25571.96545600891,0.48207688688211386,0.629743197065892,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/3.xml
447.6003646850586,4148.164510726929,0.8826337826797386,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/1.xml
130.98883628845215,18543.707847595215,0.438015000847068,0.6281827369301676,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024280/question/11.xml
585.6947898864746,5343.894481658936,0.7065561107205884,0.7080932467820725,1,1,7,./../../Downloads/dataset_full/dataset_full/math/1024280/question/12.xml
2493.1960105895996,12967.753171920776,0.9455555555555555,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/2.xml
2422.6536750793457,12119.250774383545,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1024280/question/3.xml
88.35744857788086,12795.934200286865,0.6459320273045763,0.8917075163398693,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/4.xml
2529.0310382843018,13129.668712615967,0.8984159790042143,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/5.xml
2650.162935256958,13904.354095458984,0.8268627450980393,0.8983928571428571,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1024280/question/6.xml
1064.4173622131348,9462.645292282104,0.8137939094556742,0.9061458333333333,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/7.xml
709.0706825256348,14598.806142807007,0.7278382776011503,0.804687049062049,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1024280/question/8.xml
300.8718490600586,12902.190446853638,0.6820183360700602,0.9170649509803922,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/9.xml
2036.6742610931396,8117.14506149292,0.9903549382716049,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/4.xml
2831.9709300994873,8668.193101882935,0.7552350427350427,0.7508479020979021,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1025690/question/5.xml
2880.740165710449,8743.442296981812,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/1.xml
727.2043228149414,1454.331398010254,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10274/question/2.xml
2092.8664207458496,8439.026594161987,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/10.xml
362.0414733886719,948.8604068756104,0.8889804639804639,0.8860042735042735,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/11.xml
433.51078033447266,994.8077201843262,0.7018535550600767,0.7459978730946473,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/12.xml
336.414098739624,1000.8449554443359,0.8889804639804639,0.8860042735042735,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/13.xml
475.68202018737793,956.6779136657715,0.7367979242979242,0.7427899877899877,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/14.xml
318.5310363769531,976.3357639312744,1,0.9736111111111111,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/18.xml
487.6084327697754,950.9193897247314,0.7553124999999999,0.7730448717948718,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102849/question/19.xml
2890.970468521118,8777.413129806519,0.9346590909090908,0.9535094535094535,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/2.xml
2910.1266860961914,8807.397842407227,0.9157196969696969,0.8884305798368298,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/3.xml
2914.5874977111816,8903.13196182251,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102849/question/4.xml
2261.169195175171,11607.977867126465,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102885/question/0.xml
128.56411933898926,14040.66777229309,0.7328150594217254,0.8024682758268559,1,1,4,./../../Downloads/dataset_full/dataset_full/math/102885/question/1.xml
238.91258239746094,17160.52293777466,0.7898353835086291,1,1,1,10,./../../Downloads/dataset_full/dataset_full/math/102885/question/3.xml
201.94029808044434,20248.921632766724,0.5506953484182309,0.6089902519319343,1,1,14,./../../Downloads/dataset_full/dataset_full/math/102885/question/6.xml
132.65490531921387,3104.8240661621094,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/102885/question/7.xml
2202.7530670166016,11530.45678138733,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102885/question/8.xml
120.74470520019531,13863.03734779358,0.7328150594217254,0.8024682758268559,1,1,4,./../../Downloads/dataset_full/dataset_full/math/102885/question/9.xml
411.16952896118164,10357.803106307983,0.6701168554046988,0.7316820125630824,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1029813/question/0.xml
139.45746421813965,6422.487497329712,0.4901443828782776,0.5878503215764102,1,1,13,./../../Downloads/dataset_full/dataset_full/math/1029813/question/12.xml
193.99023056030273,590.1083946228027,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1029813/question/2.xml
1968.5797691345215,8074.630260467529,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1029813/question/3.xml
