B+ Execution Time (ms),B Execution Time (ms),B+ Avg Score,B Avg Score,B+ Max Score,B Max Score,Number of Operators,File
150.2382755279541,165.7238006591797,0.9708211041229909,0.9708211041229909,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1011290/question/1.xml
200.44636726379395,201.11989974975586,0.6954714586828409,0.6954714586828409,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101214/question/13.xml
165.31968116760254,161.85998916625977,0.5428776065108717,0.5428776065108717,1,1,8,./../../Downloads/dataset_full/dataset_full/math/101214/question/14.xml
2117.415428161621,2100.529193878174,0.7639788500972712,0.7639788500972712,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101214/question/8.xml
116.80126190185547,118.45183372497559,0.4881168712040232,0.4881168712040232,1,1,9,./../../Downloads/dataset_full/dataset_full/math/101214/question/9.xml
493.01624298095703,519.9306011199951,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1013230/question/0.xml
156.25262260437012,179.64839935302734,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1013230/question/1.xml
1135.4734897613525,1171.6220378875732,0.6273588315035683,0.6273588315035683,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101480/question/0.xml
161.77773475646973,198.5316276550293,1,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/101480/question/3.xml
1060.9691143035889,1037.635326385498,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1015642/question/2.xml
1174.7994422912598,1138.3318901062012,0.8158854239664491,0.8158854239664491,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1017074/question/0.xml
2199.9921798706055,2200.507640838623,0.8401039975832203,0.8401039975832203,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1017074/question/1.xml
533.003568649292,516.364574432373,0.6449205922596306,0.6449205922596306,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1017074/question/2.xml
2216.5675163269043,2186.370372772217,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1017074/question/3.xml
2229.7613620758057,2252.652168273926,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/1.xml
2189.3906593322754,2139.491558074951,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/2.xml
2462.186336517334,2430.9444427490234,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/3.xml
2129.894018173218,2104.1979789733887,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1018014/question/4.xml
407.38964080810547,375.6537437438965,0.8557493513375867,0.8557493513375867,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1018014/question/5.xml
234.36713218688965,235.3830337524414,0.8554484631690513,0.8554484631690513,1,1,2,./../../Downloads/dataset_full/dataset_full/math/101975/question/0.xml
1202.79860496521,1238.0962371826172,0.8293080248044966,0.8293080248044966,1,1,1,./../../Downloads/dataset_full/dataset_full/math/101975/question/1.xml
237.1988296508789,235.11886596679688,0.7757563025210084,0.7757563025210084,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1019966/question/0.xml
2770.347833633423,2791.856050491333,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1019966/question/2.xml
93.74713897705078,105.18455505371094,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021876/question/0.xml
746.6895580291748,735.0780963897705,0.5618417379653683,0.5618417379653683,1,1,8,./../../Downloads/dataset_full/dataset_full/math/1021947/question/0.xml
1016.6499614715576,1007.871150970459,0.5783636075182302,0.5783636075182302,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1021947/question/1.xml
454.17213439941406,454.61392402648926,0.5984420520570346,0.5984420520570346,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1021947/question/3.xml
125.55098533630371,141.62802696228027,0.5292776509141798,0.5292776509141798,1,1,12,./../../Downloads/dataset_full/dataset_full/math/1021947/question/4.xml
144.90342140197754,150.26021003723145,0.48305586806623246,0.48305586806623246,1,1,15,./../../Downloads/dataset_full/dataset_full/math/1021947/question/5.xml
299.9436855316162,283.0805778503418,0.6020767229885222,0.6020767229885222,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1021947/question/6.xml
93.7507152557373,93.7495231628418,0.557837585457929,0.557837585457929,1,1,2,./../../Downloads/dataset_full/dataset_full/math/102262/question/6.xml
131.3931941986084,125.0009536743164,0.5272809716684164,0.5272809716684164,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1022966/question/0.xml
942.8572654724121,950.103759765625,0.7103205475738683,0.7103205475738683,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024158/question/0.xml
109.4667911529541,141.27421379089355,0.7218802609427609,0.7218802609427609,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024158/question/1.xml
140.61474800109863,157.10091590881348,0.5095314578625828,0.5095314578625828,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/2.xml
109.4808578491211,140.6235694885254,0.48207688688211386,0.48207688688211386,1,1,23,./../../Downloads/dataset_full/dataset_full/math/1024158/question/3.xml
437.2408390045166,392.2274112701416,0.8826337826797386,0.8826337826797386,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1024280/question/1.xml
114.04538154602051,89.23196792602539,0.438015000847068,0.438015000847068,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1024280/question/11.xml
